Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,daily_sentiment_score,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2023-03-16,276.56,276.2,263.28,265.2,689137.0,54832140.0,0.1,3960.28,32246.55,12581.39,27010.61,7410.0,14967.1
2023-03-17,283.33,279.43,276.32,278.26,695574.0,69527371.0,0.1,3916.64,31861.98,12519.88,27333.79,7335.4,14768.2
2023-03-18,281.38,277.03,274.16,277.83,665140.0,60840463.67,0.1,3928.28,31989.51,12534.12,27204.42,7358.23,14823.26
2023-03-19,279.43,274.63,272.01,277.41,634706.0,52153556.33,0.11,3939.93,32117.05,12548.37,27075.04,7381.07,14878.32
2023-03-20,277.48,272.23,269.85,276.98,604272.0,43466649.0,0.11,3951.57,32244.58,12562.61,26945.67,7403.9,14933.38
2023-03-21,275.0,273.78,269.52,274.88,425458.0,34558704.0,0.11,4002.87,32560.6,12741.44,27206.14,7536.2,15195.34
2023-03-22,281.04,272.29,272.18,273.4,486920.0,34873330.0,0.01,3936.97,32030.11,12567.15,27466.61,7566.8,15216.19
2023-03-23,281.06,277.66,275.2,277.94,447986.0,36610879.0,0.08,3948.72,32105.25,12729.23,27419.61,7499.6,15210.39
2023-03-24,280.63,280.57,275.28,277.24,391637.0,28199962.0,-0.14,3970.99,32237.53,12767.05,27385.25,7405.5,14957.23
2023-03-25,280.91,279.17,275.36,278.33,373421.67,27746712.0,-0.01,3973.17,32302.38,12735.72,27415.79,7427.6,15014.05
2023-03-26,281.18,277.78,275.44,279.41,355206.33,27293462.0,0.12,3975.35,32367.23,12704.4,27446.33,7449.7,15070.86
2023-03-27,281.46,276.38,275.52,280.5,336991.0,26840212.0,0.25,3977.53,32432.08,12673.07,27476.87,7471.8,15127.68
2023-03-28,276.14,275.23,272.05,275.79,288361.0,21878647.0,0.12,3971.27,32394.25,12610.57,27518.25,7484.3,15142.02
2023-03-29,281.14,280.51,278.41,278.96,312671.0,25087032.0,-0.01,4027.81,32717.6,12846.03,27883.78,7564.3,15328.78
2023-03-30,284.46,284.05,281.48,284.23,338299.0,25053410.0,0.02,4050.83,32859.03,12963.14,27782.93,7620.4,15522.4
2023-03-31,289.27,288.3,283.0,283.73,398970.0,32765976.0,0.05,4109.31,33274.15,13181.35,28041.48,7631.7,15628.84
2023-04-01,288.94,287.94,283.32,284.66,383030.0,30138431.33,0.08,4114.38,33383.15,13170.35,28090.37,7645.47,15612.87
2023-04-02,288.6,287.59,283.63,285.59,367090.0,27510886.67,0.11,4119.44,33492.15,13159.35,28139.26,7659.23,15596.89
2023-04-03,288.27,287.23,283.95,286.52,351150.0,24883342.0,0.14,4124.51,33601.15,13148.35,28188.15,7673.0,15580.92
2023-04-04,290.45,287.18,285.67,287.23,351664.0,25824299.0,0.06,4100.6,33402.38,13100.08,28287.42,7634.5,15603.47
2023-04-05,287.15,284.34,282.92,285.85,315075.0,22064770.0,0.08,4090.38,33482.72,12967.2,27813.26,7662.9,15520.17
2023-04-06,292.08,291.6,282.03,283.21,391332.0,29770334.0,0.1,4105.02,33485.29,13062.6,27472.63,7741.6,15597.89
2023-04-07,291.46,291.05,282.7,284.71,373684.0,28103499.0,0.07,4106.04,33510.6,13059.76,27512.89,7750.42,15609.34
2023-04-08,290.84,290.5,283.37,286.21,356036.0,26436664.0,0.05,4107.07,33535.9,13056.92,27553.14,7759.24,15620.8
2023-04-09,290.22,289.94,284.04,287.71,338388.0,24769829.0,0.02,4108.09,33561.21,13054.07,27593.4,7768.06,15632.26
2023-04-10,289.6,289.39,284.71,289.21,320740.0,23102994.0,-0.01,4109.11,33586.52,13051.23,27633.66,7776.88,15643.71
2023-04-11,285.98,282.83,281.64,285.75,397670.0,27276589.0,-0.04,4108.94,33684.79,12964.15,27923.37,7785.7,15655.17
2023-04-12,287.01,283.49,281.96,284.79,392792.0,27403432.0,0.41,4091.95,33646.5,12848.35,28082.7,7824.8,15703.6
2023-04-13,289.9,289.84,283.17,283.59,319819.0,24222678.0,0.44,4146.22,34029.69,13109.39,28156.97,7843.4,15729.46
2023-04-14,288.48,286.14,283.69,287.0,325337.0,20987917.0,0.47,4137.64,33886.47,13079.52,28493.47,7871.9,15807.5
2023-04-15,289.52,287.03,284.51,287.98,325980.67,21937352.33,0.39,4142.2,33920.04,13082.25,28500.57,7874.43,15801.51
2023-04-16,290.56,287.91,285.34,288.95,326624.33,22886787.67,0.3,4146.76,33953.61,13084.98,28507.68,7876.97,15795.52
2023-04-17,291.6,288.8,286.16,289.93,327268.0,23836223.0,0.22,4151.32,33987.18,13087.71,28514.78,7879.5,15789.53
2023-04-18,291.76,288.37,287.01,291.57,283385.0,20161845.0,0.18,4154.87,33976.63,13091.79,28658.83,7909.4,15882.67
2023-04-19,289.05,288.45,284.54,285.99,280116.0,17150271.0,0.01,4154.52,33897.01,13088.71,28606.76,7898.8,15895.2
2023-04-20,289.03,286.11,285.08,285.25,307055.0,23244363.0,-0.17,4129.79,33786.62,12985.98,28657.57,7902.6,15795.97
2023-04-21,286.27,285.76,283.06,285.01,312673.0,21676387.0,-0.09,4133.52,33808.96,13000.77,28564.37,7914.1,15881.66
2023-04-22,285.83,284.43,281.61,284.04,348676.33,23321262.67,-0.02,4134.69,33831.11,12990.43,28574.09,7913.47,15875.76
2023-04-23,285.39,283.1,280.17,283.06,384679.67,24966138.33,0.06,4135.87,33853.25,12980.1,28583.8,7912.83,15869.85
2023-04-24,284.95,281.77,278.72,282.09,420683.0,26611014.0,0.13,4137.04,33875.4,12969.76,28593.52,7912.2,15863.95
2023-04-25,281.6,275.42,275.37,279.51,616118.0,45772236.0,0.21,4071.63,33530.83,12725.11,28620.07,7891.1,15872.13
2023-04-26,299.57,295.37,292.73,296.7,870314.0,64599182.0,0.28,4055.99,33301.87,12806.48,28416.47,7852.6,15795.73
2023-04-27,305.2,304.83,295.25,295.97,650724.0,46462638.0,0.21,4135.35,33826.16,13160.03,28457.68,7831.6,15800.45
2023-04-28,308.93,307.26,303.31,304.01,496688.0,36469613.0,0.13,4169.48,34098.16,13245.99,28856.44,7870.6,15922.38
2023-04-29,308.82,306.69,303.92,305.0,436762.0,31411113.67,0.05,4168.94,34082.67,13241.15,28945.35,7846.2,15873.52
2023-04-30,308.71,306.13,304.54,305.98,376836.0,26352614.33,-0.03,4168.41,34067.19,13236.31,29034.27,7821.8,15824.66
2023-05-01,308.6,305.56,305.15,306.97,316910.0,21294115.0,-0.11,4167.87,34051.7,13231.47,29123.18,7797.4,15775.8
2023-05-02,309.18,305.41,303.91,307.76,393439.0,26404431.0,0.07,4119.58,33684.53,13113.66,29157.95,7773.0,15726.94
2023-05-03,308.61,304.4,304.09,306.62,352104.0,22360754.0,0.1,4090.75,33414.24,13030.21,29123.27,7788.4,15815.06
2023-05-04,307.76,305.41,303.4,306.24,311224.0,22519907.0,0.14,4061.22,33127.74,12982.48,29088.59,7702.6,15734.24
2023-05-05,311.97,310.65,304.27,305.72,381027.0,28197052.0,0.12,4136.25,33674.38,13259.13,29053.92,7778.4,15961.02
2023-05-06,311.38,309.98,304.88,307.19,365994.67,25904239.0,0.1,4136.87,33655.82,13269.97,29019.24,7774.83,15958.29
2023-05-07,310.79,309.32,305.48,308.66,350962.33,23611426.0,0.08,4137.5,33637.25,13280.8,28984.56,7771.25,15955.56
2023-05-08,310.2,308.65,306.09,310.13,335930.0,21318613.0,0.06,4138.12,33618.69,13291.64,28949.88,7767.68,15952.83
2023-05-09,310.04,307.0,306.31,308.0,299950.0,21340829.0,0.03,4119.17,33561.81,13201.11,29242.82,7764.1,15955.48
2023-05-11,311.12,310.11,306.26,310.1,381620.0,31680179.0,-0.04,4130.62,33309.51,13389.78,29126.72,7730.6,15834.91
2023-05-12,310.65,308.97,306.6,310.55,298802.0,19774696.0,0.04,4124.08,33300.62,13340.18,29388.3,7754.6,15913.82
2023-05-13,310.4,309.13,306.93,310.07,289195.67,18628646.33,0.1,4128.15,33316.61,13364.62,29467.65,7762.3,15914.96
2023-05-14,310.15,309.3,307.26,309.58,279589.33,17482596.67,0.16,4132.21,33332.61,13389.07,29546.99,7770.0,15916.1
2023-05-15,309.9,309.46,307.59,309.1,269983.0,16336547.0,0.22,4136.28,33348.6,13413.51,29626.34,7777.7,15917.24
2023-05-16,313.71,311.74,309.83,309.83,352427.0,26730347.0,0.06,4109.9,33012.14,13426.01,29842.99,7751.1,15897.93
