Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,daily_sentiment_score,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2013-01-02,27.73,27.62,27.15,27.25,144189,52905499,0.0,1462.42,13412.55,2746.47,0.0,6027.4,7778.78
2013-01-03,27.65,27.25,27.16,27.63,123089,48297740,0.0,1459.37,13391.36,2732.26,0.0,6047.3,7756.44
2013-01-04,27.34,26.74,26.73,27.27,143088,52521019,0.0,1466.47,13435.21,2724.49,10688.11,6089.8,7776.37
2013-01-07,26.88,26.69,26.64,26.77,105064,37120059,0.0,1461.89,13384.29,2724.22,10599.01,6064.6,7732.66
2013-01-08,26.79,26.55,26.46,26.75,123585,44703081,0.0,1457.15,13328.85,2718.72,10508.06,6053.6,7695.83
2013-01-09,26.75,26.7,26.56,26.72,106336,49047873,0.0,1461.02,13390.51,2727.65,10578.57,6098.7,7720.47
2013-01-10,26.98,26.46,26.29,26.65,171042,71430810,0.0,1472.12,13471.22,2744.18,10652.64,6101.5,7708.47
2013-01-11,26.93,26.83,26.28,26.49,139987,55518050,0.0,1472.05,13488.43,2748.26,10801.57,6121.6,7715.53
2013-01-14,27.08,26.89,26.76,26.9,117573,48324338,0.0,1470.68,13507.32,2735.7,10859.7,6107.9,7729.52
2013-01-15,27.29,27.21,26.82,26.83,135862,48244452,0.0,1472.34,13534.89,2722.98,10879.08,6117.3,7675.91
2013-01-16,27.23,27.04,27.01,27.15,104054,41077374,0.0,1472.63,13511.23,2734.73,10600.44,6104.0,7691.13
2013-01-17,27.47,27.25,27.06,27.19,128813,51685841,0.0,1480.94,13596.02,2747.15,10609.64,6132.4,7735.46
2013-01-18,27.29,27.25,27.04,27.1,121646,52171305,0.0,1485.98,13649.7,2743.24,10913.3,6154.4,7702.23
2013-01-22,27.45,27.15,27.0,27.3,153499,58656745,0.0,1492.56,13712.21,2746.19,10709.93,6179.2,7696.21
2013-01-23,27.64,27.61,27.2,27.2,120290,50387614,0.0,1494.81,13779.33,2762.17,10486.99,6197.6,7707.54
2013-01-24,28.07,27.63,27.47,27.7,241960,101739246,0.0,1494.82,13825.33,2723.53,10620.87,6264.9,7748.13
2013-01-25,28.23,27.88,27.39,27.58,222345,81853106,0.0,1502.96,13895.98,2736.73,10926.65,6284.5,7857.97
2013-01-28,28.22,27.91,27.76,28.01,139207,56061493,0.0,1500.18,13881.93,2742.43,10824.31,6294.4,7833.0
2013-01-29,28.13,28.01,27.6,27.82,126471,49247863,0.0,1507.84,13954.42,2743.58,10866.72,6339.2,7848.57
2013-01-30,28.19,27.85,27.76,28.01,117696,43585526,0.0,1501.96,13910.42,2738.71,11113.95,6323.1,7811.31
2013-01-31,27.97,27.45,27.4,27.79,135246,50536148,0.0,1498.11,13860.58,2731.53,11138.66,6276.9,7776.05
2013-02-01,28.05,27.93,27.55,27.67,149468,55566440,0.0,1513.17,14009.79,2763.96,11191.34,6347.2,7833.39
2013-02-04,28.02,27.44,27.42,27.87,120977,50539942,0.0,1495.71,13880.08,2715.68,11260.35,6246.8,7638.23
2013-02-05,27.66,27.5,27.36,27.62,101768,35410361,0.0,1511.29,13979.3,2754.99,11046.92,6282.8,7664.66
2013-02-06,27.54,27.34,27.25,27.38,98721,41889572,0.0,1512.12,13986.52,2746.35,11463.75,6295.3,7581.18
2013-02-07,27.39,27.28,27.1,27.35,99760,38034068,0.0,1509.39,13944.05,2746.5,11357.07,6228.4,7590.85
2013-02-08,27.71,27.55,27.31,27.35,84167,33320436,0.0,1517.93,13992.97,2775.56,11153.16,6263.9,7652.14
2013-02-11,27.92,27.86,27.5,27.65,93735,32248149,0.0,1517.01,13971.24,2774.64,11315.13,6277.1,7633.74
2013-02-12,28.0,27.88,27.75,27.88,89327,35991329,0.0,1519.43,14018.7,2762.62,11369.12,6338.4,7660.19
2013-02-13,28.11,28.03,27.88,27.93,102941,41716060,0.0,1520.33,13982.91,2773.77,11251.41,6359.1,7711.89
