Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,daily_sentiment_score
2013-01-02,27.73,27.62,27.1499,27.25,144189,52905499,
2013-01-03,27.65,27.25,27.16,27.63,123089,48297740,
2013-01-04,27.34,26.74,26.73,27.27,143088,52521019,
2013-01-07,26.88,26.69,26.64,26.77,105064,37120059,
2013-01-08,26.79,26.55,26.46,26.75,123585,44703081,
2013-01-09,26.75,26.7,26.56,26.72,106336,49047873,
2013-01-10,26.98,26.46,26.29,26.65,171042,71430810,
2013-01-11,26.93,26.83,26.28,26.49,139987,55518050,
2013-01-14,27.08,26.89,26.76,26.9,117573,48324338,
2013-01-15,27.29,27.21,26.825,26.83,135862,48244452,
2013-01-16,27.23,27.04,27.01,27.15,104054,41077374,
2013-01-17,27.47,27.25,27.06,27.19,128813,51685841,
2013-01-18,27.29,27.25,27.04,27.1,121646,52171305,
2013-01-22,27.45,27.15,27.0,27.3,153499,58656745,
2013-01-23,27.635,27.61,27.2,27.2,120290,50387614,
2013-01-24,28.07,27.63,27.47,27.7,241960,101739246,
2013-01-25,28.23,27.88,27.39,27.58,222345,81853106,
2013-01-28,28.225,27.911,27.76,28.01,139207,56061493,
2013-01-29,28.13,28.01,27.6,27.82,126471,49247863,
2013-01-30,28.19,27.85,27.76,28.01,117696,43585526,
2013-01-31,27.97,27.45,27.4,27.79,135246,50536148,
2013-02-01,28.05,27.93,27.55,27.67,149468,55566440,
2013-02-04,28.02,27.44,27.42,27.87,120977,50539942,
2013-02-05,27.66,27.495,27.36,27.62,101768,35410361,
2013-02-06,27.54,27.34,27.25,27.3799,98721,41889572,
2013-02-07,27.39,27.283,27.1,27.35,99760,38034068,
2013-02-08,27.71,27.55,27.31,27.35,84167,33320436,
2013-02-11,27.92,27.86,27.5,27.65,93735,32248149,
2013-02-12,28.0,27.88,27.75,27.88,89327,35991329,
2013-02-13,28.11,28.03,27.88,27.93,102941,41716060,
2013-02-14,28.06,28.04,27.87,27.92,72338,32663454,
2013-02-15,28.16,28.01,27.875,28.04,102186,49657740,
2013-02-19,28.09,28.045,27.8,27.8801,90808,38806870,
2013-02-20,28.2,27.87,27.83,28.13,108114,44112446,
2013-02-21,27.74,27.49,27.23,27.74,121464,49085538,
2013-02-22,27.76,27.76,27.48,27.68,83374,31430018,
2013-02-25,28.05,27.37,27.37,27.97,118605,48020353,
2013-02-26,27.6,27.37,27.34,27.38,118365,49925050,
2013-02-27,28.0,27.81,27.33,27.42,97960,36395589,
2013-02-28,27.97,27.8,27.74,27.88,83346,35840861,
2013-03-01,27.98,27.95,27.52,27.72,106914,34851878,
2013-03-04,28.15,28.15,27.7,27.85,94113,38167497,
2013-03-05,28.54,28.35,28.16,28.29,110990,41437141,
2013-03-06,28.23,28.09,27.78,28.21,137037,51448913,
2013-03-07,28.28,28.14,28.005,28.11,85948,29197630,
2013-03-08,28.33,28.0,27.96,28.25,93044,37671493,
2013-03-11,27.97,27.87,27.67,27.94,95576,36635432,
2013-03-12,27.95,27.91,27.64,27.84,104345,39259456,
2013-03-13,28.02,27.915,27.75,27.87,79382,29103208,
2013-03-14,28.16,28.135,27.93,28.0,122510,55917303,
2013-03-15,28.16,28.035,27.98,28.03,126420,92711915,
2013-03-18,28.28,28.1,27.81,27.88,117701,44828022,
2013-03-19,28.22,28.18,28.03,28.12,126950,51902968,
2013-03-20,28.49,28.315,28.18,28.34,100040,35454207,
2013-03-21,28.36,28.11,28.05,28.11,104939,34234566,
2013-03-22,28.3379,28.25,28.1,28.19,77801,28720834,
2013-03-25,28.35,28.16,27.96,28.3,103482,44153931,
2013-03-26,28.34,28.155,28.11,28.24,76253,27831654,
2013-03-27,28.445,28.37,28.08,28.14,97128,36048959,
2013-03-28,28.66,28.605,28.26,28.32,97463,55455613,
2013-04-01,28.66,28.61,28.36,28.64,70721,29203122,
2013-04-02,28.85,28.8,28.52,28.59,84327,28460384,
2013-04-03,28.95,28.56,28.54,28.75,99845,35064468,
2013-04-04,28.61,28.595,28.27,28.39,112282,45267601,
2013-04-05,28.78,28.7,28.11,28.22,123504,50928776,
2013-04-08,28.73,28.59,28.47,28.73,91541,34759724,
2013-04-09,29.815,29.61,28.68,28.73,193538,77737851,
2013-04-10,30.32,30.28,29.52,29.57,188547,71116616,
2013-04-11,29.2,28.935,28.73,29.1,290766,130923162,
2013-04-12,29.02,28.79,28.66,28.85,134343,62888012,
2013-04-15,28.98,28.69,28.51,28.65,150962,56335548,
2013-04-16,29.14,28.97,28.695,28.9,139816,52804656,
2013-04-17,29.04,28.825,28.6,28.85,133154,52841328,
2013-04-18,28.98,28.79,28.5,28.95,160515,56906528,
2013-04-19,30.24,29.765,29.61,29.62,236275,99793502,
2013-04-22,31.18,30.83,30.27,30.3,324524,137909468,
2013-04-23,30.9,30.6,30.38,30.7,164454,59126880,
2013-04-24,31.92,31.76,30.6,30.62,209372,90955499,
2013-04-25,32.84,31.94,31.54,31.71,284852,110700124,
2013-04-26,31.98,31.79,31.45,31.9,128893,47802884,
2013-04-29,32.68,32.61,31.77,31.8,146531,59122266,
2013-04-30,33.11,33.1,32.28,32.56,188352,75166967,
2013-05-01,33.08,32.72,32.6,32.93,172022,54336834,
2013-05-02,33.17,33.16,32.39,32.63,136594,46069472,
2013-05-03,33.52,33.49,33.08,33.23,134470,46786840,
2013-05-06,33.91,33.75,33.25,33.42,119507,40982478,
2013-05-07,33.79,33.31,33.24,33.65,132079,43078268,
2013-05-08,33.24,32.99,32.65,33.0667,146911,51595643,
2013-05-09,33.0,32.66,32.59,32.85,139917,46417802,
2013-05-10,32.72,32.69,32.32,32.67,110238,36396524,
2013-05-13,33.07,33.03,32.55,32.61,103436,36036347,
2013-05-14,33.53,33.53,32.8,32.8601,142043,56874005,
2013-05-15,33.9,33.845,33.43,33.45,124616,46309506,
2013-05-16,34.15,34.08,33.55,33.64,152652,59384283,
2013-05-17,34.87,34.87,34.1,34.1301,142177,60674267,
2013-05-20,35.095,35.08,34.68,34.73,133613,54025227,
2013-05-21,35.2725,34.85,34.72,35.1,147646,48705362,
2013-05-22,34.84,34.61,34.36,34.79,183373,66050872,
2013-05-23,34.55,34.15,33.9,34.23,155532,51113510,
2013-05-24,34.28,34.269,33.9,33.92,99139,33175804,
2013-05-28,35.18,35.02,34.41,34.42,148886,48218180,
2013-05-29,35.02,34.88,34.57,34.74,121938,38419848,
2013-05-30,35.25,35.03,34.813,34.85,130497,51133616,
2013-05-31,35.28,34.9,34.79,34.82,133564,56167723,
2013-06-03,35.63,35.59,34.83,34.92,162944,51256272,
2013-06-04,35.74,34.99,34.771,35.62,188775,65538438,
2013-06-05,34.89,34.78,34.43,34.6,165687,46032657,
2013-06-06,35.11,34.96,34.49,34.84,133828,37627133,
2013-06-07,35.78,35.67,35.06,35.25,118056,40762249,
2013-06-10,35.65,35.47,35.14,35.51,127301,35995223,
2013-06-11,35.18,34.84,34.68,35.05,133164,39437362,
2013-06-12,35.27,35.0,34.85,35.14,134143,37373032,
2013-06-13,35.02,34.715,34.59,34.99,127375,45654803,
2013-06-14,34.6901,34.4,34.25,34.55,126508,53199007,
2013-06-17,35.16,35.0,34.63,34.69,135837,49672492,
2013-06-18,35.17,34.98,34.895,34.97,91300,28622929,
2013-06-19,35.09,34.59,34.59,34.96,114074,30820208,
2013-06-20,34.33,33.49,33.37,34.26,183058,54496758,
2013-06-21,33.73,33.265,33.05,33.66,179781,85338495,
2013-06-24,34.2,33.715,32.57,32.94,199064,56113708,
2013-06-25,34.38,33.67,33.46,34.08,145675,44073348,
2013-06-26,34.48,34.35,33.8875,34.12,133184,48667834,
2013-06-27,34.78,34.62,34.5,34.52,95888,28993542,
2013-06-28,34.79,34.545,34.34,34.38,114760,65548196,
2013-07-01,34.99,34.36,34.33,34.75,105770,31064000,
2013-07-02,34.4389,33.94,33.63,34.41,130267,37634572,
2013-07-03,34.37,34.01,33.6,33.66,62733,15994380,
2013-07-05,34.24,34.21,33.581,34.09,99690,26085981,
2013-07-08,34.59,34.325,33.98,34.35,99967,32398742,
2013-07-09,34.6,34.35,34.14,34.58,87069,25320908,
2013-07-10,34.81,34.7,34.32,34.34,104955,29658734,
2013-07-11,35.77,35.685,34.9,35.0,152776,53638234,
2013-07-12,35.73,35.67,35.28,35.58,111265,35502638,
2013-07-15,36.22,36.17,35.58,35.66,106850,34145645,
2013-07-16,36.4299,36.27,35.96,36.01,119647,36378681,
2013-07-17,36.39,35.74,35.49,36.34,121188,37289320,
2013-07-18,35.89,35.44,35.22,35.72,163464,49547075,
2013-07-19,32.67,31.4,31.02,32.4,621069,248428494,
2013-07-22,32.01,32.01,31.6,31.7,183962,79040666,
2013-07-23,32.04,31.82,31.71,31.91,161765,65819208,
2013-07-24,32.19,31.96,31.89,32.035,137542,52812049,
2013-07-25,31.65,31.39,31.25,31.62,155785,63221356,
2013-07-26,31.62,31.62,31.205,31.26,112407,38637339,
2013-07-29,31.6,31.54,31.4,31.47,93870,28874879,
2013-07-30,32.12,31.85,31.55,31.78,140152,45801156,
2013-07-31,32.05,31.84,31.71,31.97,136165,43900515,
2013-08-01,32.09,31.67,31.6,32.06,128558,42557872,
2013-08-02,31.9,31.89,31.565,31.69,95455,29199813,
2013-08-05,32.0,31.7,31.64,31.9,93654,30986512,
2013-08-06,31.67,31.58,31.38,31.55,97749,36334889,
2013-08-07,32.1,32.063,31.25,31.54,126476,38078570,
2013-08-08,33.07,32.89,32.05,32.24,196826,59038538,
2013-08-09,32.9,32.7,32.47,32.77,99483,26803879,
2013-08-12,32.97,32.87,32.46,32.46,89447,25501910,
2013-08-13,32.55,32.23,32.21,32.51,124590,39473018,
2013-08-14,33.36,32.35,31.7,32.14,139022,48528230,
2013-08-15,32.18,31.79,30.84,32.0,119748,33340728,
2013-08-16,31.99,31.8,31.66,31.79,87309,32866242,
2013-08-19,31.97,31.393,31.38,31.76,99477,27908716,
2013-08-20,31.9,31.62,31.37,31.44,81784,22979513,
2013-08-21,32.01,31.61,31.54,31.61,118492,37409095,
2013-08-22,32.49,32.39,32.1,32.185,93867,31169898,
2013-08-23,35.2,34.75,34.0,35.17,552077,225493737,
2013-08-26,34.67,34.15,34.03,34.4,197354,72786745,
2013-08-27,34.1,33.26,33.15,33.515,189745,58522264,
2013-08-28,33.6,33.02,33.0,33.39,131466,44262716,
2013-08-29,33.6,33.55,32.8,32.93,150793,45284632,
2013-08-30,33.48,33.4,33.09,33.37,114360,42784642,
2013-09-03,32.07,31.88,31.29,31.75,401589,154506984,
2013-09-04,31.47,31.195,31.11,31.39,328034,142320588,
2013-09-05,31.44,31.235,30.95,31.1,177781,71644891,
2013-09-06,31.39,31.152,31.13,31.31,195063,75439554,
2013-09-09,31.79,31.655,31.2,31.2208,139087,49628450,
2013-09-10,32.4,32.39,31.79,31.9,158132,56887967,
2013-09-11,32.93,32.74,32.53,32.57,119352,39087430,
2013-09-12,32.78,32.69,32.59,32.72,95785,32867691,
2013-09-13,33.07,33.03,32.505,32.77,122850,40905938,
2013-09-16,33.5,32.801,32.73,33.38,160264,55017879,
2013-09-17,33.47,32.93,32.9,33.42,211915,84716461,
2013-09-18,33.4,33.32,32.83,32.99,193941,64103344,
2013-09-19,33.68,33.64,33.32,33.48,118677,42026553,
2013-09-20,33.48,32.791,32.685,33.41,228592,102904859,
2013-09-23,32.969,32.74,32.5,32.5401,117949,39826261,
2013-09-24,32.87,32.455,32.15,32.87,125406,40684948,
2013-09-25,32.8,32.505,32.4,32.49,94625,28907426,
2013-09-26,33.0,32.77,32.59,32.64,84353,28503917,
2013-09-27,33.75,33.27,32.87,32.88,151828,55347903,
2013-09-30,33.31,33.28,32.7,33.0,109741,39839541,
2013-10-01,33.61,33.58,33.3,33.35,110630,36718733,
2013-10-02,34.03,33.92,33.29,33.36,139789,46946813,
2013-10-03,34.0,33.86,33.42,33.88,131883,38707452,
2013-10-04,33.99,33.88,33.62,33.69,106844,33008107,
2013-10-07,33.71,33.3,33.2,33.6,108370,35069279,
2013-10-08,33.33,33.01,32.8,33.31,131113,41017586,
2013-10-09,33.3499,33.07,32.96,33.07,132455,35878559,
2013-10-10,33.89,33.76,33.26,33.31,123886,42875141,
2013-10-11,34.14,34.13,33.68,33.68,96665,30033336,
2013-10-14,34.5,34.45,33.78,33.9,84904,27757870,
2013-10-15,34.99,34.49,34.47,34.67,159326,47107657,
2013-10-16,34.895,34.64,34.56,34.6,117798,35111593,
2013-10-17,34.99,34.92,34.37,34.45,100783,31359198,
2013-10-18,34.99,34.96,34.33,34.82,113688,41811699,
2013-10-21,35.2,34.99,34.91,34.98,93082,27436505,
2013-10-22,35.1,34.58,34.52,35.02,120323,40438546,
2013-10-23,34.49,33.76,33.674,34.35,163812,58600499,
2013-10-24,34.1,33.72,33.57,33.82,162958,53209728,
2013-10-25,36.29,35.73,35.47,35.88,303741,113493954,
2013-10-28,35.73,35.57,35.27,35.61,122485,38383594,
2013-10-29,35.72,35.52,35.26,35.6301,100770,31702613,
2013-10-30,35.79,35.54,35.43,35.53,111200,37002061,
2013-10-31,35.69,35.405,35.34,35.66,109077,41689563,
2013-11-01,35.69,35.525,35.39,35.67,126395,40271887,
2013-11-04,35.98,35.94,35.55,35.59,82976,28061873,
2013-11-05,36.71,36.64,35.77,35.7899,153163,51681868,
2013-11-06,38.22,38.18,37.06,37.24,250731,88948830,
2013-11-07,38.01,37.5,37.43,37.96,163879,60445258,
2013-11-08,37.78,37.78,37.34,37.67,110359,36743157,
2013-11-11,37.775,37.59,37.355,37.69,91892,26872537,
2013-11-12,37.595,37.36,37.2,37.38,103300,31651589,
2013-11-13,38.16,38.155,36.9,36.98,124345,44957611,
2013-11-14,38.13,38.021,37.72,37.87,132858,46186577,
2013-11-15,38.02,37.841,37.72,37.95,114582,50602034,
2013-11-18,37.58,37.2,37.07,37.35,150789,53277485,
2013-11-19,37.23,36.74,36.67,36.85,145074,44274987,
2013-11-20,37.41,37.08,36.86,36.92,109716,32231827,
2013-11-21,37.53,37.4,37.26,37.27,80787,23064699,
2013-11-22,37.68,37.57,37.33,37.525,82856,27981996,
2013-11-25,37.95,37.64,37.57,37.93,83717,30648148,
2013-11-26,37.65,37.35,37.35,37.57,77083,34468069,
2013-11-27,37.76,37.6,37.49,37.57,81678,26002050,
2013-11-29,38.29,38.13,37.82,37.82,54171,22090428,
2013-12-02,38.78,38.45,38.06,38.09,119489,42950373,
2013-12-03,38.49,38.31,38.08,38.14,143863,52109760,
2013-12-04,38.98,38.94,38.12,38.21,133765,51983578,
2013-12-05,38.875,38.0,37.18,38.85,347434,116313834,
2013-12-06,38.55,38.36,37.99,38.42,106390,36457292,
2013-12-09,38.87,38.705,38.37,38.56,113813,30286015,
2013-12-10,38.9,38.11,38.02,38.61,135482,37828593,
2013-12-11,38.3,37.61,37.39,38.06,132030,39853379,
2013-12-12,37.64,37.22,37.18,37.64,101482,36012761,
2013-12-13,37.45,36.69,36.62,37.42,135887,40074360,
2013-12-16,37.0,36.885,36.54,36.73,112169,31734515,
2013-12-17,37.11,36.52,36.3344,36.94,164397,45687679,
2013-12-18,36.6,36.58,35.53,36.3601,183342,63192067,
2013-12-19,36.55,36.25,36.08,36.51,131299,34157264,
2013-12-20,36.93,36.8,36.185,36.2,143893,62650324,
2013-12-23,36.89,36.62,36.55,36.81,87741,25128740,
2013-12-24,37.17,37.08,36.64,36.72,58559,14242997,
2013-12-26,37.49,37.44,37.17,37.2,65894,17614984,
2013-12-27,37.62,37.29,37.17,37.58,57214,14563533,
2013-12-30,37.38,37.29,36.9006,37.22,60214,16290475,
2013-12-31,37.58,37.41,37.217,37.4,58522,17505770,
2014-01-02,37.4,37.16,37.1,37.35,99405,30643745,
2014-01-03,37.22,36.91,36.6,37.2,100656,31134795,
2014-01-06,36.89,36.13,36.11,36.85,139777,43615035,
2014-01-07,36.49,36.41,36.21,36.325,120630,35924726,
2014-01-08,36.14,35.76,35.58,36.0,165446,59979542,
2014-01-09,35.91,35.53,35.4,35.88,122253,36520448,
2014-01-10,36.15,36.04,35.75,35.9,133208,40558766,
2014-01-13,36.02,34.98,34.83,35.99,163686,45923872,
2014-01-14,35.88,35.78,34.63,34.73,145727,41627325,
2014-01-15,36.79,36.76,35.85,35.9,143578,44909545,
2014-01-16,37.0,36.89,36.31,36.69,129881,38035708,
2014-01-17,36.83,36.38,36.15,36.83,122363,46298736,
2014-01-21,36.82,36.17,36.06,36.82,110849,31578979,
2014-01-22,36.32,35.93,35.75,36.26,88705,21965266,
2014-01-23,36.13,36.055,35.52,36.09,177677,44515126,
2014-01-24,37.55,36.805,36.53,37.45,269564,77051806,
2014-01-27,36.89,36.03,35.98,36.87,166694,44485767,
2014-01-28,36.39,36.27,35.75,36.12,132816,36225755,
2014-01-29,36.88,36.66,35.9,35.98,186821,52790351,
2014-01-30,36.88,36.86,36.23,36.79,128287,35111959,
2014-01-31,37.89,37.84,36.56,36.95,259284,93190755,
2014-02-03,37.985,36.48,36.43,37.74,224618,64102391,
2014-02-04,37.189,36.35,36.25,36.97,200733,55526924,
2014-02-05,36.47,35.82,35.8,36.29,178840,55841097,
2014-02-06,36.25,36.18,35.69,35.8,127947,35380994,
2014-02-07,36.59,36.56,36.01,36.32,119746,33348008,
2014-02-10,36.8,36.8,36.29,36.63,85368,26782083,
2014-02-11,37.26,37.175,36.86,36.88,108229,32164989,
2014-02-12,37.6,37.47,37.3,37.35,95436,27055869,
2014-02-13,37.86,37.61,37.33,37.33,114936,37647772,
2014-02-14,37.78,37.62,37.33,37.39,108101,42986738,
2014-02-18,37.78,37.42,37.41,37.63,105226,32839707,
2014-02-19,37.75,37.51,37.21,37.22,109524,29794084,
2014-02-20,37.87,37.75,37.395,37.57,101619,27541038,
2014-02-21,38.35,37.98,37.86,37.94,115131,38030656,
2014-02-24,37.975,37.69,37.54,37.69,107899,32143395,
2014-02-25,37.85,37.54,37.35,37.61,104934,30867657,
2014-02-26,37.74,37.47,37.19,37.5801,124592,41042629,
2014-02-27,37.89,37.86,37.23,37.45,109087,33919024,
2014-02-28,38.46,38.31,37.82,37.98,141659,41217028,
2014-03-03,38.13,37.78,37.495,37.92,114641,29726792,
2014-03-04,38.48,38.41,38.07,38.2,105028,26868337,
2014-03-05,38.2699,38.11,37.93,38.25,85442,20520432,
2014-03-06,38.24,38.15,37.89,38.14,90258,23605310,
2014-03-07,38.36,37.9,37.69,38.28,90966,26596635,
2014-03-10,38.01,37.82,37.72,37.99,65087,19007850,
2014-03-11,38.23,38.02,37.72,37.87,82066,25218133,
2014-03-12,38.43,38.27,37.79,37.8,93606,30496295,
2014-03-13,38.45,37.89,37.6414,38.42,115861,32169650,
2014-03-14,38.135,37.7,37.5058,37.651,104484,27195638,
2014-03-17,38.41,38.05,37.79,37.9,89890,20479610,
2014-03-18,39.9,39.55,38.22,38.26,215817,64063866,
2014-03-19,39.55,39.27,38.91,39.47,144421,35597241,
2014-03-20,40.649,40.33,39.24,39.25,196589,59269801,
2014-03-21,40.94,40.16,40.01,40.72,193334,80731942,
2014-03-24,40.64,40.5,39.86,40.34,165920,46098374,
2014-03-25,40.99,40.34,39.9599,40.66,170973,43193147,
2014-03-26,40.705,39.79,39.6,40.48,156879,41982966,
2014-03-27,39.97,39.36,39.34,39.74,156486,35369170,
2014-03-28,40.635,40.3,39.68,39.79,152502,43472747,
2014-03-31,41.5,40.99,40.4,40.43,168411,46886284,
2014-04-01,41.59,41.42,41.07,41.15,128972,32610395,
2014-04-02,41.66,41.35,41.17,41.44,114576,28666682,
2014-04-03,41.29,41.01,40.71,41.29,112592,30139567,
2014-04-04,41.39,39.87,39.64,41.25,222745,51409573,
2014-04-07,40.27,39.8,39.74,39.96,168401,37559615,
2014-04-08,39.93,39.82,39.2,39.75,143584,35919609,
2014-04-09,40.55,40.47,39.88,39.93,122304,27398687,
2014-04-10,40.69,39.36,39.09,40.44,197345,45960848,
2014-04-11,39.79,39.209,39.0,39.0,149177,34333298,
2014-04-14,39.41,39.18,38.9,39.11,139754,32006651,
2014-04-15,39.96,39.75,39.05,39.34,143010,33978673,
2014-04-16,40.415,40.4,39.905,40.06,120799,30616304,
2014-04-17,40.195,40.01,39.51,40.01,123386,36689399,
