Date,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2013-01-02,1462.4200439453125,13412.5498046875,2746.469970703125,,6027.39990234375,7778.77978515625
2013-01-03,1459.3699951171875,13391.3603515625,2732.260009765625,,6047.2998046875,7756.43994140625
2013-01-04,1466.469970703125,13435.2099609375,2724.489990234375,10688.1103515625,6089.7998046875,7776.3701171875
2013-01-07,1461.8900146484375,13384.2900390625,2724.219970703125,10599.009765625,6064.60009765625,7732.66015625
2013-01-08,1457.1500244140625,13328.849609375,2718.719970703125,10508.0595703125,6053.60009765625,7695.830078125
2013-01-09,1461.02001953125,13390.509765625,2727.64990234375,10578.5703125,6098.7001953125,7720.47021484375
2013-01-10,1472.1199951171875,13471.2197265625,2744.179931640625,10652.6396484375,6101.5,7708.47021484375
2013-01-11,1472.050048828125,13488.4296875,2748.260009765625,10801.5703125,6121.60009765625,7715.52978515625
2013-01-14,1470.6800537109375,13507.3203125,2735.699951171875,,6107.89990234375,7729.52001953125
2013-01-15,1472.3399658203125,13534.8896484375,2722.97998046875,10879.080078125,6117.2998046875,7675.91015625
2013-01-16,1472.6300048828125,13511.23046875,2734.72998046875,10600.4404296875,6104.0,7691.1298828125
2013-01-17,1480.93994140625,13596.01953125,2747.14990234375,10609.6396484375,6132.39990234375,7735.4599609375
2013-01-18,1485.97998046875,13649.7001953125,2743.239990234375,10913.2998046875,6154.39990234375,7702.22998046875
2013-01-21,,,,10747.740234375,6181.0,7748.85986328125
2013-01-22,1492.56005859375,13712.2099609375,2746.18994140625,10709.9296875,6179.2001953125,7696.2099609375
2013-01-23,1494.81005859375,13779.330078125,2762.169921875,10486.990234375,6197.60009765625,7707.5400390625
2013-01-24,1494.8199462890625,13825.330078125,2723.530029296875,10620.8701171875,6264.89990234375,7748.1298828125
2013-01-25,1502.9599609375,13895.98046875,2736.72998046875,10926.650390625,6284.5,7857.97021484375
2013-01-28,1500.1800537109375,13881.9296875,2742.429931640625,10824.3095703125,6294.39990234375,7833.0
2013-01-29,1507.8399658203125,13954.419921875,2743.580078125,10866.7197265625,6339.2001953125,7848.56982421875
2013-01-30,1501.9599609375,13910.419921875,2738.7099609375,11113.9501953125,6323.10009765625,7811.31005859375
2013-01-31,1498.1099853515625,13860.580078125,2731.530029296875,11138.66015625,6276.89990234375,7776.0498046875
2013-02-01,1513.1700439453125,14009.7900390625,2763.9599609375,11191.33984375,6347.2001953125,7833.39013671875
2013-02-04,1495.7099609375,13880.080078125,2715.679931640625,11260.349609375,6246.7998046875,7638.22998046875
2013-02-05,1511.2900390625,13979.2998046875,2754.989990234375,11046.919921875,6282.7998046875,7664.66015625
2013-02-06,1512.1199951171875,13986.51953125,2746.35009765625,11463.75,6295.2998046875,7581.18017578125
2013-02-07,1509.3900146484375,13944.0498046875,2746.5,11357.0703125,6228.39990234375,7590.85009765625
2013-02-08,1517.9300537109375,13992.9697265625,2775.56005859375,11153.16015625,6263.89990234375,7652.14013671875
2013-02-11,1517.010009765625,13971.240234375,2774.639892578125,,6277.10009765625,7633.740234375
2013-02-12,1519.4300537109375,14018.7001953125,2762.6201171875,11369.1201171875,6338.39990234375,7660.18994140625
2013-02-13,1520.3299560546875,13982.91015625,2773.77001953125,11251.41015625,6359.10009765625,7711.89013671875
2013-02-14,1521.3800048828125,13973.3896484375,2771.429931640625,11307.2802734375,6327.39990234375,7631.18994140625
2013-02-15,1519.7900390625,13981.759765625,2764.669921875,11173.830078125,6328.2998046875,7593.509765625
2013-02-18,,,,11407.8701171875,6318.2001953125,7628.72998046875
2013-02-19,1530.93994140625,14035.669921875,2782.860107421875,11372.33984375,6379.10009765625,7752.4501953125
2013-02-20,1511.949951171875,13927.5400390625,2739.989990234375,11468.2802734375,6395.39990234375,7728.89990234375
2013-02-21,1502.4200439453125,13880.6201171875,2711.510009765625,11309.1298828125,6291.5,7583.56982421875
2013-02-22,1515.5999755859375,14000.5703125,2737.280029296875,11385.9404296875,6335.7001953125,7661.91015625
2013-02-25,1487.8499755859375,13784.169921875,2700.969970703125,11662.51953125,6355.39990234375,7773.18994140625
2013-02-26,1496.93994140625,13900.1298828125,2713.02001953125,11398.8095703125,6270.39990234375,7597.10986328125
2013-02-27,1515.989990234375,14075.3701171875,2741.260009765625,11253.9697265625,6325.89990234375,7675.830078125
2013-02-28,1514.6800537109375,14054.490234375,2738.580078125,11559.3603515625,6360.7998046875,7741.7001953125
2013-03-01,1518.199951171875,14089.66015625,2747.75,11606.3798828125,6378.60009765625,7708.16015625
2013-03-04,1525.199951171875,14127.8203125,2759.530029296875,11652.2900390625,6345.60009765625,7691.68017578125
2013-03-05,1539.7900390625,14253.76953125,2799.25,11683.4501953125,6432.0,7870.31005859375
2013-03-06,1541.4599609375,14296.240234375,2792.56005859375,11932.26953125,6427.60009765625,7919.330078125
2013-03-07,1544.260009765625,14329.490234375,2799.489990234375,11968.080078125,6439.2001953125,7939.77001953125
2013-03-08,1551.1800537109375,14397.0703125,2804.110107421875,12283.6201171875,6483.60009765625,7986.47021484375
2013-03-11,1556.219970703125,14447.2900390625,2811.860107421875,12349.0498046875,6503.60009765625,7984.2900390625
2013-03-12,1552.47998046875,14450.0595703125,2800.81005859375,12314.8095703125,6510.60009765625,7966.1201171875
2013-03-13,1554.52001953125,14455.2802734375,2798.679931640625,12239.66015625,6481.5,7970.91015625
2013-03-14,1563.22998046875,14539.1396484375,2807.300048828125,12381.1904296875,6529.39990234375,8058.3701171875
2013-03-15,1560.699951171875,14514.1103515625,2799.409912109375,12560.9501953125,6489.7001953125,8042.85009765625
2013-03-18,1552.0999755859375,14452.0595703125,2792.300048828125,12220.6298828125,6457.89990234375,8010.7001953125
2013-03-19,1548.3399658203125,14455.8203125,2787.27001953125,12468.23046875,6441.2998046875,7947.7900390625
2013-03-20,1558.7099609375,14511.73046875,2805.909912109375,,6432.7001953125,8001.97021484375
2013-03-21,1545.800048828125,14421.490234375,2774.85009765625,12635.6904296875,6388.60009765625,7932.509765625
2013-03-22,1556.8900146484375,14512.0302734375,2800.81005859375,12338.5302734375,6392.7998046875,7911.35009765625
2013-03-25,1551.68994140625,14447.75,2789.449951171875,12546.4599609375,6378.39990234375,7870.89990234375
2013-03-26,1563.77001953125,14559.650390625,2806.5,12471.6201171875,6399.39990234375,7879.669921875
2013-03-27,1562.8499755859375,14526.16015625,2809.97998046875,12493.7900390625,6387.60009765625,7789.08984375
2013-03-28,1569.18994140625,14578.5400390625,2818.68994140625,12335.9599609375,6411.7001953125,7795.31005859375
2013-03-29,,,,12397.91015625,,
2013-04-01,1562.1700439453125,14572.849609375,2797.070068359375,12135.01953125,,
2013-04-02,1570.25,14662.009765625,2820.6201171875,12003.4296875,6490.7001953125,7943.8701171875
2013-04-03,1553.68994140625,14550.349609375,2795.0400390625,12362.2001953125,6420.2998046875,7874.75
