,versionCreated,text,storyId,sourceCode,sentiment
0,2023-12-01 23:10:29.661000+00:00,Alphabet (GOOGL) Boosts Search Capabilities With Latest Move,urn:newsml:newswire.refinitiv.com:20231129:nNRAqwysok:7,NS:ZACKSC,"{'label': 'Positive', 'score': 0.9999998807907104}"
1,2023-12-01 23:07:37.358000+00:00,MICROSOFT CORP SEC Filings files Form -- 4,urn:newsml:newswire.refinitiv.com:20231201:nEOL3NR0f:1,NS:EDG,"{'label': 'Neutral', 'score': 0.9999022483825684}"
2,2023-12-01 23:06:45.977000+00:00,MICROSOFT CORP SEC Filings files Form -- 4,urn:newsml:newswire.refinitiv.com:20231201:nEOL4Gtjh8:1,NS:EDG,"{'label': 'Neutral', 'score': 0.9999022483825684}"
3,2023-12-01 23:05:22.053000+00:00,MICROSOFT CORP SEC Filings files Form -- 4,urn:newsml:newswire.refinitiv.com:20231201:nEOL4JsyP4:1,NS:EDG,"{'label': 'Neutral', 'score': 0.9999022483825684}"
4,2023-12-01 23:04:07.897000+00:00,MICROSOFT CORP -- 3,urn:newsml:newswire.refinitiv.com:20231201:nEOL78rlFJ:1,NS:EDG,"{'label': 'Neutral', 'score': 0.9787192940711975}"
5,2023-12-01 22:36:47.775000+00:00,Fulcrum IT Partners to Acquire PayiQ from Quisitive Technology Solutions for USD27 Million,urn:newsml:newswire.refinitiv.com:20231201:nNRAqybsnk:1,NS:DATMTR,"{'label': 'Neutral', 'score': 0.9998894929885864}"
6,2023-12-01 20:15:19+00:00,BRIEF-OpenAI Says It Is Planning To Launch The GPT Store Early Next Year,urn:newsml:newswire.refinitiv.com:20231201:nFWN3CW1HC:1,NS:RTRS,"{'label': 'Neutral', 'score': 0.999997615814209}"
7,2023-12-01 20:13:53.876000+00:00,OPENAI- PLANNING TO LAUNCH THE GPT STORE EARLY NEXT YEAR,urn:newsml:newswire.refinitiv.com:20231201:nFWN3CW1HC:1,NS:RTRS,"{'label': 'Neutral', 'score': 0.9999903440475464}"
8,2023-12-01 19:51:47.168000+00:00,"AI Update: Industry Moves On Data Provenance, Microsoft Joins OpenAI Board, Client AI Disclosures",urn:newsml:newswire.refinitiv.com:20231201:nNRAqya7kg:1,NS:ABVLAW,"{'label': 'Neutral', 'score': 0.9998512268066406}"
9,2023-12-01 19:12:44+00:00,BRIEF-OpenAI Delays Launch Of Custom GPT Store Until Early 2024- Axios,urn:newsml:newswire.refinitiv.com:20231201:nP8N3AW0C6:1,NS:RTRS,"{'label': 'Negative', 'score': 0.99869304895401}"
10,2023-12-01 19:09:00.004000+00:00,OPENAI DELAYS LAUNCH OF CUSTOM GPT STORE UNTIL EARLY 2024- AXIOS,urn:newsml:newswire.refinitiv.com:20231201:nP8N3AW0C6:1,NS:RTRS,"{'label': 'Negative', 'score': 0.9996147155761719}"
11,2023-12-01 16:15:23+00:00,BUZZ-Dell falls after third-quarter revenue misses estimates,urn:newsml:newswire.refinitiv.com:20231201:nL4N3CW3I9:1,NS:RTRS,"{'label': 'Negative', 'score': 0.9999990463256836}"
12,2023-12-01 15:08:12+00:00,UPDATE 1-Generative AI a stumbling block in EU legislation talks -sources,urn:newsml:newswire.refinitiv.com:20231201:nL1N3CW1ON:1,NS:RTRS,"{'label': 'Negative', 'score': 0.8590430021286011}"
13,2023-12-01 14:30:19.900000+00:00,Participation in NobleCon19 Noble Capital Markets' 19th Annual Emerging Growth Equity Conference,urn:newsml:newsroom.refinitiv.com:20231201:nVMNdRHg7a:0,NS:CMNW,"{'label': 'Neutral', 'score': 0.9999966621398926}"
14,2023-12-01 14:00:25.455000+00:00,Participation in December Investor Conference,urn:newsml:newsroom.refinitiv.com:20231201:nVMNknwHPa:0,NS:CMNW,"{'label': 'Neutral', 'score': 0.9999970197677612}"
15,2023-12-01 13:24:23.826000+00:00,Newscasts - U.S. Morning Call: Stocks begin December on a high after a blockbuster month,urn:newsml:newswire.refinitiv.com:20231201:nRTV9mPY26:3,NS:RTRS,"{'label': 'Neutral', 'score': 0.999985933303833}"
16,2023-12-01 13:09:30.215000+00:00,Samsung Internet now available for Windows 10 and Windows 11,urn:newsml:newswire.refinitiv.com:20231129:nNRAqwv3or:5,NS:INDIAE,"{'label': 'Neutral', 'score': 0.9999822378158569}"
17,2023-12-01 12:59:26+00:00,CORRECTED-Generative AI a stumbling block in EU legislation talks -sources,urn:newsml:newswire.refinitiv.com:20231201:nL1N3CW0JL:7,NS:RTRS,"{'label': 'Negative', 'score': 0.9996734857559204}"
18,2023-12-01 11:55:59.307000+00:00,Newscasts - Reuters Today: World leaders including King Charles warn about climate change pain,urn:newsml:newswire.refinitiv.com:20231201:nRTVbpkzcZ:3,NS:RTRS,"{'label': 'Neutral', 'score': 0.9999895095825195}"
19,2023-12-01 10:57:05+00:00,Covisian S.p.A. - Covisian hires a Microsoft executive as Global Commercial Director,urn:newsml:newswire.refinitiv.com:20231201:nNDL6q4CSN:1,NS:PUBT,"{'label': 'Neutral', 'score': 0.9999743700027466}"
20,2023-12-01 10:23:05+00:00,PRESSR: Emirates NBD transforms sustainability measurement capabilities in collaboration with Microsoft,urn:newsml:newswire.refinitiv.com:20231201:nZawbgsZQX:1,NS:ZAWYA,"{'label': 'Neutral', 'score': 0.9143269658088684}"
21,2023-12-01 09:47:54+00:00,UPDATE 1-EXCLUSIVE-Google pushes for antitrust action against Microsoft in UK cloud market,urn:newsml:newswire.refinitiv.com:20231201:nL1N3CW0OQ:1,NS:RTRS,"{'label': 'Neutral', 'score': 0.8635678291320801}"
22,2023-12-01 09:40:01+00:00,GRAPHIC-Tech giants lead surge in global mega-caps as inflation eases,urn:newsml:newswire.refinitiv.com:20231201:nL4N3CW24M:1,NS:RTRS,"{'label': 'Positive', 'score': 0.9999030828475952}"
23,2023-12-01 07:37:28+00:00,UPDATE 1-UK Stocks-Factors to watch on Dec 1,urn:newsml:newswire.refinitiv.com:20231201:nL4N3CW1Q5:1,NS:RTRS,"{'label': 'Neutral', 'score': 0.9999507665634155}"
24,2023-12-01 06:53:11.609000+00:00,MICROSOFT TO INVEST £2.5 BLN IN UK TO BOOST AI PLANS,urn:newsml:newswire.refinitiv.com:20231201:nBER1GzlV2:1,NS:BER,"{'label': 'Neutral', 'score': 0.9514521360397339}"
25,2023-12-01 05:10:19+00:00,UK Stocks-Factors to watch on Dec 1,urn:newsml:newswire.refinitiv.com:20231201:nL4N3CW12P:1,NS:RTRS,"{'label': 'Neutral', 'score': 0.9997995495796204}"
26,2023-12-01 04:06:16.192000+00:00,Newscasts - Viral AI chatbot ChatGPT turns one,urn:newsml:newswire.refinitiv.com:20231130:nRTV7KLt5T:5,NS:RTRS,"{'label': 'Neutral', 'score': 0.9999287128448486}"
27,2023-12-01 04:00:08.423000+00:00,Newscasts - Viral AI chatbot ChatGPT turns one,urn:newsml:newswire.refinitiv.com:20231130:nRTV7X5jlr:5,NS:RTRS,"{'label': 'Neutral', 'score': 0.9999287128448486}"
28,2023-12-01 02:46:15.509000+00:00,Request For Proposal For Microsoft Pro Data Base 365 Business Standard License (annual Subscription) On Pro Rata Basis Along With One-time Setup & Premium Annual Support.,urn:newsml:newswire.refinitiv.com:20231201:nNRAqxuih2:1,NS:ECLTND,"{'label': 'Neutral', 'score': 0.999998927116394}"
29,2023-12-01 02:33:49.246000+00:00,Microsoft Unified Agreement 2024-2026,urn:newsml:newswire.refinitiv.com:20231201:nNRAqxtxrw:1,NS:ECLCTA,"{'label': 'Neutral', 'score': 0.99885094165802}"
30,2023-12-01 02:33:37.157000+00:00,Purchase Of Microsoft Server Licenses,urn:newsml:newswire.refinitiv.com:20231201:nNRAqxtx94:1,NS:ECLCTA,"{'label': 'Neutral', 'score': 0.9999665021896362}"
31,2023-12-01 02:33:35.841000+00:00,"Supply And Update Of Licenses For Microsoft Products Used In The Congress Of Deputies Through The ""enterprise Agreement"" Modality.",urn:newsml:newswire.refinitiv.com:20231201:nNRAqxtx7p:1,NS:ECLCTA,"{'label': 'Neutral', 'score': 0.9999783039093018}"
32,2023-12-01 01:11:23+00:00,EXCLUSIVE-Google pushes for antitrust action against Microsoft in UK cloud market,urn:newsml:newswire.refinitiv.com:20231201:nL1N3CW01H:7,NS:RTRS,"{'label': 'Neutral', 'score': 0.9682514071464539}"
33,2023-12-01 00:41:11+00:00,PRESS DIGEST-British Business - Dec 1,urn:newsml:newswire.refinitiv.com:20231201:nL4N3CW01Z:1,NS:RTRS,"{'label': 'Neutral', 'score': 0.999984860420227}"
34,2023-12-01 23:10:29.661000+00:00,Alphabet (GOOGL) Boosts Search Capabilities With Latest Move,urn:newsml:newswire.refinitiv.com:20231129:nNRAqwysok:7,NS:ZACKSC,"{'label': 'Positive', 'score': 0.9999998807907104}"
35,2023-12-01 23:07:37.358000+00:00,MICROSOFT CORP SEC Filings files Form -- 4,urn:newsml:newswire.refinitiv.com:20231201:nEOL3NR0f:1,NS:EDG,"{'label': 'Neutral', 'score': 0.9999022483825684}"
36,2023-12-01 23:06:45.977000+00:00,MICROSOFT CORP SEC Filings files Form -- 4,urn:newsml:newswire.refinitiv.com:20231201:nEOL4Gtjh8:1,NS:EDG,"{'label': 'Neutral', 'score': 0.9999022483825684}"
37,2023-12-01 23:05:22.053000+00:00,MICROSOFT CORP SEC Filings files Form -- 4,urn:newsml:newswire.refinitiv.com:20231201:nEOL4JsyP4:1,NS:EDG,"{'label': 'Neutral', 'score': 0.9999022483825684}"
38,2023-12-01 23:04:07.897000+00:00,MICROSOFT CORP -- 3,urn:newsml:newswire.refinitiv.com:20231201:nEOL78rlFJ:1,NS:EDG,"{'label': 'Neutral', 'score': 0.9787192940711975}"
39,2023-12-01 22:36:47.775000+00:00,Fulcrum IT Partners to Acquire PayiQ from Quisitive Technology Solutions for USD27 Million,urn:newsml:newswire.refinitiv.com:20231201:nNRAqybsnk:1,NS:DATMTR,"{'label': 'Neutral', 'score': 0.9998894929885864}"
40,2023-12-01 20:15:19+00:00,BRIEF-OpenAI Says It Is Planning To Launch The GPT Store Early Next Year,urn:newsml:newswire.refinitiv.com:20231201:nFWN3CW1HC:1,NS:RTRS,"{'label': 'Neutral', 'score': 0.999997615814209}"
41,2023-12-01 20:13:53.876000+00:00,OPENAI- PLANNING TO LAUNCH THE GPT STORE EARLY NEXT YEAR,urn:newsml:newswire.refinitiv.com:20231201:nFWN3CW1HC:1,NS:RTRS,"{'label': 'Neutral', 'score': 0.9999903440475464}"
42,2023-12-01 19:51:47.168000+00:00,"AI Update: Industry Moves On Data Provenance, Microsoft Joins OpenAI Board, Client AI Disclosures",urn:newsml:newswire.refinitiv.com:20231201:nNRAqya7kg:1,NS:ABVLAW,"{'label': 'Neutral', 'score': 0.9998512268066406}"
43,2023-12-01 19:12:44+00:00,BRIEF-OpenAI Delays Launch Of Custom GPT Store Until Early 2024- Axios,urn:newsml:newswire.refinitiv.com:20231201:nP8N3AW0C6:1,NS:RTRS,"{'label': 'Negative', 'score': 0.99869304895401}"
44,2023-12-01 19:09:00.004000+00:00,OPENAI DELAYS LAUNCH OF CUSTOM GPT STORE UNTIL EARLY 2024- AXIOS,urn:newsml:newswire.refinitiv.com:20231201:nP8N3AW0C6:1,NS:RTRS,"{'label': 'Negative', 'score': 0.9996147155761719}"
45,2023-12-01 16:15:23+00:00,BUZZ-Dell falls after third-quarter revenue misses estimates,urn:newsml:newswire.refinitiv.com:20231201:nL4N3CW3I9:1,NS:RTRS,"{'label': 'Negative', 'score': 0.9999990463256836}"
