Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2013-10-25,36.24,34.6,33.13,32.25,37.88,39.35,40.23
2013-10-26,35.2,33.57,32.09,31.21,36.84,38.31,39.2
2013-10-27,35.45,33.81,32.34,31.45,37.08,38.56,39.44
2013-10-28,35.23,33.59,32.12,31.23,36.86,38.34,39.22
2013-10-29,34.81,33.17,31.7,30.82,36.45,37.92,38.8
2013-10-30,33.94,32.3,30.83,29.95,35.58,37.05,37.93
2013-10-31,33.88,32.24,30.77,29.88,35.51,36.99,37.87
2013-11-01,35.96,34.32,32.85,31.96,37.59,39.07,39.95
2013-11-02,35.94,34.3,32.83,31.95,37.58,39.05,39.93
2013-11-03,35.87,34.23,32.76,31.87,37.5,38.98,39.86
2013-11-04,35.83,34.19,32.72,31.83,37.46,38.94,39.82
2013-11-05,35.74,34.11,32.63,31.75,37.38,38.85,39.74
2013-11-06,35.98,34.34,32.87,31.98,37.61,39.09,39.97
2013-11-07,35.91,34.28,32.8,31.92,37.55,39.02,39.9
2013-11-08,35.74,34.1,32.63,31.75,37.38,38.85,39.73
2013-11-09,35.92,34.28,32.81,31.93,37.56,39.03,39.91
2013-11-10,36.03,34.39,32.92,32.04,37.67,39.14,40.02
2013-11-11,36.17,34.54,33.06,32.18,37.81,39.28,40.17
2013-11-12,36.87,35.24,33.76,32.88,38.51,39.98,40.87
2013-11-13,38.23,36.6,35.12,34.24,39.87,41.34,42.22
2013-11-14,37.53,35.89,34.42,33.54,39.16,40.64,41.52
2013-11-15,37.83,36.19,34.72,33.83,39.46,40.94,41.82
2013-11-16,37.81,36.18,34.7,33.82,39.45,40.92,41.8
2013-11-17,37.7,36.07,34.59,33.71,39.34,40.81,41.7
2013-11-18,37.65,36.01,34.54,33.65,39.28,40.76,41.64
2013-11-19,37.45,35.81,34.34,33.46,39.08,40.56,41.44
2013-11-20,38.17,36.54,35.06,34.18,39.81,41.28,42.17
2013-11-21,37.95,36.32,34.84,33.96,39.59,41.06,41.94
2013-11-22,37.84,36.2,34.73,33.85,39.47,40.95,41.83
2013-11-23,37.66,36.03,34.55,33.67,39.3,40.77,41.65
2013-11-24,37.37,35.74,34.26,33.38,39.01,40.48,41.37
2013-11-25,37.17,35.53,34.06,33.17,38.8,40.28,41.16
2013-11-26,36.69,35.05,33.58,32.7,38.33,39.8,40.68
2013-11-27,36.98,35.34,33.87,32.98,38.61,40.09,40.97
2013-11-28,37.44,35.81,34.33,33.45,39.08,40.55,41.44
2013-11-29,37.52,35.89,34.41,33.53,39.16,40.63,41.52
2013-11-30,37.6,35.96,34.49,33.6,39.23,40.71,41.59
2013-12-01,37.6,35.96,34.49,33.61,39.24,40.71,41.59
2013-12-02,37.65,36.01,34.54,33.66,39.29,40.76,41.64
2013-12-03,37.32,35.68,34.21,33.33,38.96,40.43,41.31
2013-12-04,37.49,35.85,34.37,33.49,39.12,40.6,41.48
2013-12-05,36.9,35.26,33.79,32.91,38.54,40.01,40.89
2013-12-06,38.06,36.43,34.95,34.07,39.7,41.17,42.06
2013-12-07,38.21,36.58,35.1,34.22,39.85,41.33,42.21
2013-12-08,38.28,36.64,35.16,34.28,39.91,41.39,42.27
2013-12-09,38.44,36.8,35.33,34.45,40.08,41.55,42.43
2013-12-10,38.26,36.62,35.15,34.26,39.89,41.37,42.25
2013-12-11,38.82,37.19,35.71,34.83,40.46,41.93,42.81
2013-12-12,37.87,36.24,34.76,33.88,39.51,40.98,41.86
2013-12-13,38.28,36.64,35.17,34.29,39.92,41.39,42.27
2013-12-14,38.42,36.78,35.31,34.43,40.06,41.53,42.41
2013-12-15,38.51,36.87,35.4,34.52,40.15,41.62,42.5
2013-12-16,38.61,36.98,35.5,34.62,40.25,41.72,42.61
2013-12-17,38.12,36.48,35.01,34.12,39.75,41.23,42.11
2013-12-18,37.4,35.76,34.29,33.41,39.04,40.51,41.39
2013-12-19,36.88,35.24,33.77,32.89,38.52,39.99,40.87
2013-12-20,36.85,35.21,33.74,32.85,38.48,39.96,40.84
2013-12-21,36.51,34.88,33.4,32.52,38.15,39.62,40.51
2013-12-22,36.56,34.92,33.45,32.56,38.19,39.67,40.55
2013-12-23,36.86,35.23,33.75,32.87,38.5,39.97,40.86
2013-12-24,36.38,34.74,33.27,32.38,38.01,39.49,40.37
2013-12-25,36.45,34.81,33.34,32.46,38.09,39.56,40.44
2013-12-26,35.98,34.35,32.87,31.99,37.62,39.09,39.97
2013-12-27,36.68,35.04,33.57,32.69,38.31,39.79,40.67
2013-12-28,36.64,35.0,33.52,32.64,38.27,39.75,40.63
2013-12-29,36.57,34.93,33.46,32.58,38.21,39.68,40.56
2013-12-30,36.47,34.83,33.36,32.48,38.11,39.58,40.46
2013-12-31,36.93,35.29,33.82,32.94,38.56,40.04,40.92
2014-01-01,37.5,35.86,34.39,33.51,39.14,40.61,41.49
2014-01-02,37.53,35.89,34.42,33.54,39.17,40.64,41.52
2014-01-03,37.35,35.71,34.24,33.36,38.99,40.46,41.34
2014-01-04,37.39,35.75,34.28,33.4,39.03,40.5,41.38
2014-01-05,37.37,35.73,34.26,33.37,39.0,40.48,41.36
2014-01-06,37.39,35.75,34.28,33.4,39.02,40.5,41.38
2014-01-07,37.36,35.73,34.25,33.37,39.0,40.47,41.36
2014-01-08,37.38,35.74,34.27,33.39,39.02,40.49,41.37
2014-01-09,37.05,35.41,33.93,33.05,38.68,40.16,41.04
2014-01-10,36.84,35.2,33.73,32.85,38.48,39.95,40.83
2014-01-11,36.53,34.89,33.42,32.54,38.17,39.64,40.52
2014-01-12,36.22,34.58,33.11,32.22,37.85,39.33,40.21
2014-01-13,35.96,34.32,32.85,31.97,37.6,39.07,39.95
2014-01-14,36.32,34.68,33.21,32.33,37.95,39.43,40.31
2014-01-15,35.65,34.01,32.54,31.65,37.28,38.76,39.64
2014-01-16,35.54,33.9,32.43,31.55,37.18,38.65,39.53
2014-01-17,36.13,34.49,33.02,32.14,37.77,39.24,40.12
2014-01-18,35.67,34.03,32.56,31.68,37.31,38.78,39.66
2014-01-19,35.23,33.59,32.12,31.23,36.86,38.34,39.22
2014-01-20,34.88,33.25,31.77,30.89,36.52,37.99,38.88
2014-01-21,35.68,34.05,32.57,31.69,37.32,38.79,39.68
2014-01-22,36.45,34.81,33.34,32.46,38.09,39.56,40.44
2014-01-23,36.56,34.92,33.45,32.57,38.2,39.67,40.55
2014-01-24,35.45,33.82,32.34,31.46,37.09,38.56,39.45
2014-01-25,36.19,34.56,33.08,32.2,37.83,39.3,40.19
2014-01-26,36.12,34.49,33.01,32.13,37.76,39.23,40.12
2014-01-27,36.03,34.39,32.92,32.04,37.67,39.14,40.02
2014-01-28,35.81,34.17,32.7,31.82,37.45,38.92,39.8
2014-01-29,35.71,34.08,32.6,31.72,37.35,38.83,39.71
2014-01-30,35.85,34.22,32.74,31.86,37.49,38.96,39.85
2014-01-31,37.03,35.39,33.92,33.04,38.66,40.14,41.02
2014-02-01,36.79,35.15,33.68,32.8,38.42,39.9,40.78
2014-02-02,36.08,34.45,32.97,32.09,37.72,39.19,40.08
2014-02-03,35.84,34.21,32.73,31.85,37.48,38.95,39.84
2014-02-04,35.84,34.2,32.73,31.85,37.48,38.95,39.83
2014-02-05,36.17,34.53,33.06,32.17,37.8,39.28,40.16
2014-02-06,36.7,35.06,33.59,32.71,38.33,39.81,40.69
2014-02-07,37.45,35.81,34.34,33.46,39.09,40.56,41.44
2014-02-08,37.08,35.44,33.97,33.08,38.71,40.19,41.07
2014-02-09,36.57,34.94,33.46,32.58,38.21,39.68,40.56
2014-02-10,36.31,34.67,33.2,32.32,37.95,39.42,40.3
2014-02-11,36.23,34.6,33.12,32.24,37.87,39.34,40.23
2014-02-12,35.67,34.03,32.56,31.68,37.31,38.78,39.66
2014-02-13,36.04,34.4,32.93,32.05,37.68,39.15,40.03
2014-02-14,36.45,34.81,33.33,32.45,38.08,39.56,40.44
2014-02-15,36.51,34.87,33.4,32.51,38.14,39.62,40.5
2014-02-16,36.55,34.91,33.44,32.56,38.19,39.66,40.54
2014-02-17,36.64,35.0,33.53,32.65,38.27,39.75,40.63
2014-02-18,37.06,35.42,33.95,33.07,38.7,40.17,41.05
2014-02-19,37.34,35.7,34.23,33.35,38.98,40.45,41.33
2014-02-20,37.47,35.83,34.36,33.48,39.11,40.58,41.46
2014-02-21,37.48,35.84,34.37,33.49,39.12,40.59,41.47
2014-02-22,37.92,36.29,34.81,33.93,39.56,41.04,41.92
2014-02-23,37.88,36.25,34.77,33.89,39.52,40.99,41.88
2014-02-24,37.86,36.22,34.75,33.86,39.49,40.97,41.85
2014-02-25,37.82,36.18,34.71,33.83,39.46,40.93,41.81
2014-02-26,37.88,36.24,34.77,33.88,39.51,40.99,41.87
2014-02-27,38.09,36.45,34.98,34.1,39.73,41.2,42.08
2014-02-28,38.37,36.73,35.26,34.37,40.0,41.48,42.36
2014-03-01,38.28,36.64,35.17,34.29,39.92,41.39,42.27
