Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2016-01-31,55.13,49.49,44.41,41.38,60.77,65.84,68.88
2016-02-29,50.47,44.83,39.76,36.72,56.11,61.19,64.22
2016-03-31,56.22,50.58,45.51,42.47,61.86,66.94,69.97
2016-04-30,56.44,50.8,45.72,42.69,62.08,67.15,70.19
2016-05-31,53.43,47.79,42.71,39.67,59.07,64.14,67.18
2016-06-30,51.95,46.31,41.23,38.2,57.59,62.66,65.7
2016-07-31,59.41,53.77,48.7,45.66,65.05,70.13,73.17
2016-08-31,61.67,56.03,50.95,47.91,67.31,72.38,75.42
2016-09-30,57.4,51.76,46.68,43.64,63.04,68.11,71.15
2016-10-31,61.59,55.95,50.88,47.84,67.23,72.31,75.35
2016-11-30,64.39,58.75,53.67,50.63,70.03,75.1,78.14
2016-12-31,64.01,58.37,53.3,50.26,69.65,74.73,77.77
2017-01-31,65.73,60.09,55.01,51.98,71.37,76.44,79.48
2017-02-28,67.62,61.98,56.9,53.86,73.26,78.33,81.37
2017-03-31,64.9,59.26,54.19,51.15,70.54,75.62,78.66
2017-04-30,70.58,64.94,59.87,56.83,76.22,81.3,84.33
2017-05-31,75.98,70.34,65.27,62.23,81.62,86.7,89.74
2017-06-30,71.67,66.03,60.95,57.91,77.31,82.38,85.42
2017-07-31,75.48,69.84,64.76,61.73,81.12,86.19,89.23
2017-08-31,76.72,71.08,66.01,62.97,82.36,87.44,90.47
2017-09-30,73.46,67.82,62.75,59.71,79.1,84.18,87.21
2017-10-31,86.82,81.18,76.11,73.07,92.46,97.54,100.58
2017-11-30,87.28,81.64,76.56,73.52,92.91,97.99,101.03
2017-12-31,85.5,79.86,74.78,71.74,91.13,96.21,99.25
2018-01-31,93.42,87.78,82.7,79.66,99.06,104.13,107.17
2018-02-28,94.79,89.15,84.08,81.04,100.43,105.51,108.55
2018-03-31,93.32,87.68,82.6,79.57,98.96,104.03,107.07
2018-04-30,91.4,85.76,80.68,77.64,97.04,102.11,105.15
2018-05-31,98.08,92.44,87.36,84.32,103.72,108.79,111.83
2018-06-30,97.02,91.38,86.31,83.27,102.66,107.74,110.78
2018-07-31,106.94,101.3,96.22,93.18,112.58,117.65,120.69
2018-08-31,112.77,107.14,102.06,99.02,118.41,123.49,126.53
2018-09-30,115.96,110.32,105.25,102.21,121.6,126.68,129.72
2018-10-31,105.25,99.61,94.53,91.49,110.89,115.96,119.0
2018-11-30,101.11,95.47,90.4,87.36,106.75,111.83,114.86
2018-12-31,100.4,94.76,89.69,86.65,106.04,111.12,114.15
2019-01-31,105.68,100.04,94.97,91.93,111.32,116.4,119.43
2019-02-28,112.42,106.78,101.7,98.66,118.06,123.13,126.17
2019-03-31,117.31,111.67,106.59,103.56,122.95,128.02,131.06
2019-04-30,129.42,123.78,118.71,115.67,135.06,140.14,143.17
2019-05-31,127.47,121.83,116.76,113.72,133.11,138.19,141.23
2019-06-30,135.2,129.56,124.48,121.45,140.84,145.91,148.95
2019-07-31,140.14,134.5,129.43,126.39,145.78,150.86,153.89
2019-08-31,133.22,127.58,122.51,119.47,138.86,143.94,146.98
2019-09-30,136.25,130.61,125.54,122.5,141.89,146.97,150.0
2019-10-31,146.0,140.36,135.29,132.25,151.64,156.72,159.76
2019-11-30,145.12,139.48,134.4,131.37,150.76,155.83,158.87
2019-12-31,159.36,153.72,148.65,145.61,165.0,170.08,173.11
2020-01-31,157.3,151.66,146.58,143.55,162.94,168.01,171.05
2020-02-29,175.73,170.09,165.01,161.98,181.37,186.44,189.48
2020-03-31,152.09,146.45,141.38,138.34,157.73,162.81,165.84
2020-04-30,170.47,164.83,159.75,156.71,176.11,181.18,184.22
2020-05-31,184.7,179.06,173.99,170.95,190.34,195.42,198.46
2020-06-30,190.25,184.61,179.54,176.5,195.89,200.97,204.01
2020-07-31,206.01,200.37,195.3,192.26,211.65,216.73,219.76
2020-08-31,223.3,217.66,212.58,209.55,228.94,234.01,237.05
