Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2014-01-19,36.19,34.79,33.52,32.77,37.59,38.85,39.61
2014-01-26,36.1,34.7,33.44,32.69,37.51,38.77,39.52
2014-02-02,37.09,35.69,34.43,33.67,38.49,39.76,40.51
2014-02-09,36.66,35.26,34.0,33.25,38.07,39.33,40.08
2014-02-16,37.47,36.07,34.81,34.05,38.87,40.13,40.89
2014-02-23,37.78,36.38,35.12,34.36,39.18,40.44,41.2
2014-03-02,38.01,36.61,35.35,34.59,39.41,40.68,41.43
2014-03-09,38.0,36.6,35.34,34.58,39.4,40.67,41.42
2014-03-16,38.23,36.82,35.56,34.81,39.63,40.89,41.64
2014-03-23,40.73,39.33,38.06,37.31,42.13,43.39,44.15
2014-03-30,40.99,39.59,38.33,37.58,42.4,43.66,44.41
2014-04-06,40.14,38.73,37.47,36.72,41.54,42.8,43.55
2014-04-13,39.53,38.13,36.86,36.11,40.93,42.19,42.95
2014-04-20,40.31,38.91,37.64,36.89,41.71,42.97,43.73
2014-04-27,40.9,39.5,38.24,37.49,42.31,43.57,44.32
2014-05-04,40.07,38.67,37.4,36.65,41.47,42.73,43.49
2014-05-11,40.1,38.7,37.44,36.69,41.51,42.77,43.52
2014-05-18,39.99,38.58,37.32,36.57,41.39,42.65,43.4
2014-05-25,40.42,39.02,37.76,37.01,41.83,43.09,43.84
2014-06-01,41.2,39.8,38.53,37.78,42.6,43.86,44.62
2014-06-08,41.81,40.41,39.15,38.39,43.21,44.47,45.23
2014-06-15,41.77,40.36,39.1,38.35,43.17,44.43,45.18
2014-06-22,42.32,40.92,39.66,38.91,43.73,44.99,45.74
2014-06-29,42.31,40.91,39.65,38.89,43.71,44.97,45.73
2014-07-06,42.21,40.81,39.54,38.79,43.61,44.87,45.63
2014-07-13,42.32,40.92,39.65,38.9,43.72,44.98,45.74
2014-07-20,45.06,43.66,42.4,41.64,46.46,47.72,48.48
2014-07-27,44.49,43.08,41.82,41.07,45.89,47.15,47.9
2014-08-03,43.44,42.04,40.78,40.02,44.84,46.1,46.86
2014-08-10,43.5,42.1,40.84,40.08,44.9,46.16,46.92
2014-08-17,45.21,43.81,42.54,41.79,46.61,47.87,48.63
2014-08-24,45.52,44.12,42.86,42.1,46.92,48.18,48.94
2014-08-31,45.45,44.05,42.79,42.03,46.85,48.12,48.87
2014-09-07,46.45,45.05,43.78,43.03,47.85,49.11,49.87
2014-09-14,46.61,45.21,43.95,43.19,48.01,49.27,50.03
2014-09-21,47.48,46.08,44.81,44.06,48.88,50.14,50.9
2014-09-28,46.52,45.12,43.86,43.1,47.92,49.19,49.94
2014-10-05,46.25,44.85,43.59,42.83,47.65,48.91,49.67
2014-10-12,44.1,42.7,41.44,40.69,45.51,46.77,47.52
2014-10-19,43.85,42.44,41.18,40.43,45.25,46.51,47.27
2014-10-26,46.26,44.86,43.6,42.84,47.66,48.93,49.68
2014-11-02,47.46,46.06,44.8,44.05,48.87,50.13,50.88
2014-11-09,48.9,47.49,46.23,45.48,50.3,51.56,52.31
2014-11-16,49.82,48.41,47.15,46.4,51.22,52.48,53.23
2014-11-23,47.9,46.5,45.24,44.49,49.31,50.57,51.32
2014-11-30,48.48,47.08,45.82,45.07,49.89,51.15,51.9
2014-12-07,48.24,46.84,45.58,44.82,49.64,50.91,51.66
2014-12-14,47.02,45.62,44.36,43.61,48.43,49.69,50.44
2014-12-21,47.96,46.56,45.3,44.54,49.36,50.63,51.38
2014-12-28,47.67,46.27,45.01,44.25,49.07,50.34,51.09
2015-01-04,46.55,45.15,43.88,43.13,47.95,49.21,49.97
2015-01-11,47.04,45.63,44.37,43.62,48.44,49.7,50.45
2015-01-18,46.22,44.82,43.56,42.8,47.62,48.88,49.64
2015-01-25,46.98,45.58,44.32,43.56,48.38,49.64,50.4
2015-02-01,41.05,39.65,38.38,37.63,42.45,43.71,44.47
2015-02-08,42.49,41.09,39.82,39.07,43.89,45.15,45.91
2015-02-15,43.73,42.33,41.07,40.31,45.13,46.4,47.15
2015-02-22,43.97,42.57,41.31,40.55,45.37,46.64,47.39
2015-03-01,43.88,42.48,41.21,40.46,45.28,46.54,47.3
2015-03-08,42.59,41.19,39.93,39.17,43.99,45.26,46.01
2015-03-15,41.47,40.07,38.81,38.06,42.88,44.14,44.89
2015-03-22,42.8,41.4,40.14,39.38,44.2,45.46,46.22
2015-03-29,40.96,39.56,38.3,37.54,42.36,43.63,44.38
2015-04-05,41.29,39.89,38.63,37.87,42.69,43.95,44.71
2015-04-12,41.67,40.27,39.01,38.25,43.07,44.34,45.09
2015-04-19,42.36,40.96,39.7,38.94,43.76,45.02,45.78
2015-04-26,48.06,46.66,45.4,44.64,49.46,50.72,51.48
2015-05-03,48.53,47.13,45.87,45.11,49.93,51.2,51.95
2015-05-10,47.48,46.07,44.81,44.06,48.88,50.14,50.89
2015-05-17,48.09,46.69,45.43,44.67,49.49,50.75,51.51
2015-05-24,46.75,45.35,44.08,43.33,48.15,49.41,50.17
2015-05-31,47.03,45.62,44.36,43.61,48.43,49.69,50.44
2015-06-07,46.0,44.6,43.34,42.58,47.4,48.67,49.42
2015-06-14,45.61,44.21,42.94,42.19,47.01,48.27,49.03
2015-06-21,46.21,44.81,43.55,42.79,47.61,48.87,49.63
2015-06-28,44.7,43.3,42.04,41.28,46.1,47.36,48.12
2015-07-05,44.24,42.84,41.57,40.82,45.64,46.9,47.66
2015-07-12,45.19,43.78,42.52,41.77,46.59,47.85,48.6
2015-07-19,46.8,45.4,44.14,43.38,48.2,49.47,50.22
2015-07-26,45.65,44.25,42.99,42.23,47.05,48.31,49.07
2015-08-02,46.79,45.39,44.13,43.37,48.19,49.45,50.21
2015-08-09,47.16,45.76,44.5,43.74,48.56,49.83,50.58
2015-08-16,47.18,45.78,44.52,43.77,48.59,49.85,50.6
2015-08-23,42.19,40.79,39.53,38.77,43.59,44.85,45.61
2015-08-30,43.69,42.29,41.03,40.27,45.09,46.36,47.11
2015-09-06,43.2,41.79,40.53,39.78,44.6,45.86,46.61
2015-09-13,43.32,41.92,40.66,39.9,44.72,45.99,46.74
2015-09-20,43.87,42.47,41.21,40.45,45.27,46.54,47.29
2015-09-27,43.59,42.19,40.93,40.18,45.0,46.26,47.01
2015-10-04,46.25,44.85,43.59,42.83,47.65,48.91,49.67
2015-10-11,46.99,45.58,44.32,43.57,48.39,49.65,50.4
2015-10-18,47.58,46.18,44.92,44.17,48.99,50.25,51.0
2015-10-25,53.72,52.31,51.05,50.3,55.12,56.38,57.13
2015-11-01,53.28,51.88,50.62,49.86,54.68,55.94,56.7
2015-11-08,54.39,52.98,51.72,50.97,55.79,57.05,57.8
2015-11-15,53.45,52.05,50.79,50.03,54.85,56.11,56.87
2015-11-22,54.17,52.77,51.51,50.75,55.57,56.83,57.59
2015-11-29,54.1,52.69,51.43,50.68,55.5,56.76,57.51
2015-12-06,55.93,54.53,53.27,52.51,57.33,58.6,59.35
2015-12-13,54.63,53.23,51.97,51.21,56.03,57.3,58.05
2015-12-20,54.7,53.3,52.03,51.28,56.1,57.36,58.12
2015-12-27,55.88,54.48,53.22,52.47,57.29,58.55,59.3
2016-01-03,54.82,53.42,52.16,51.41,56.23,57.49,58.24
2016-01-10,52.25,50.85,49.59,48.83,53.65,54.92,55.67
2016-01-17,51.11,49.71,48.45,47.69,52.51,53.78,54.53
2016-01-24,51.89,50.48,49.22,48.47,53.29,54.55,55.3
2016-01-31,54.89,53.49,52.22,51.47,56.29,57.55,58.31
2016-02-07,49.61,48.21,46.95,46.19,51.01,52.28,53.03
2016-02-14,50.7,49.29,48.03,47.28,52.1,53.36,54.11
2016-02-21,52.45,51.05,49.79,49.03,53.85,55.12,55.87
2016-02-28,51.1,49.7,48.43,47.68,52.5,53.76,54.52
2016-03-06,51.57,50.17,48.91,48.16,52.98,54.24,54.99
2016-03-13,52.93,51.53,50.27,49.52,54.34,55.6,56.35
2016-03-20,53.84,52.44,51.18,50.42,55.24,56.51,57.26
2016-03-27,53.72,52.32,51.05,50.3,55.12,56.38,57.14
2016-04-03,55.48,54.07,52.81,52.06,56.88,58.14,58.89
2016-04-10,54.5,53.09,51.83,51.08,55.9,57.16,57.91
2016-04-17,56.14,54.74,53.47,52.72,57.54,58.8,59.56
2016-04-24,52.2,50.8,49.53,48.78,53.6,54.86,55.62
2016-05-01,50.32,48.92,47.66,46.91,51.73,52.99,53.74
2016-05-08,50.09,48.69,47.43,46.67,51.49,52.75,53.51
2016-05-15,51.49,50.09,48.83,48.07,52.89,54.16,54.91
2016-05-22,50.3,48.89,47.63,46.88,51.7,52.96,53.71
2016-05-29,52.6,51.2,49.94,49.18,54.0,55.26,56.02
2016-06-05,52.24,50.84,49.58,48.82,53.64,54.9,55.66
2016-06-12,50.89,49.49,48.23,47.48,52.3,53.56,54.31
2016-06-19,50.24,48.84,47.57,46.82,51.64,52.9,53.66
2016-06-26,49.05,47.65,46.39,45.63,50.45,51.71,52.47
2016-07-03,51.23,49.83,48.57,47.81,52.63,53.89,54.65
2016-07-10,52.62,51.22,49.95,49.2,54.02,55.28,56.04
2016-07-17,53.85,52.45,51.19,50.43,55.25,56.52,57.27
2016-07-24,56.78,55.38,54.12,53.37,58.19,59.45,60.2
2016-07-31,56.72,55.32,54.06,53.3,58.12,59.38,60.14
2016-08-07,58.03,56.63,55.37,54.61,59.43,60.69,61.45
2016-08-14,58.04,56.64,55.38,54.62,59.44,60.71,61.46
2016-08-21,57.5,56.1,54.84,54.08,58.9,60.16,60.92
2016-08-28,58.2,56.8,55.54,54.78,59.6,60.86,61.62
2016-09-04,57.85,56.45,55.19,54.44,59.26,60.52,61.27
2016-09-11,56.84,55.44,54.18,53.42,58.24,59.5,60.26
2016-09-18,57.15,55.75,54.49,53.73,58.55,59.81,60.57
2016-09-25,57.15,55.75,54.49,53.74,58.56,59.82,60.57
2016-10-02,57.48,56.07,54.81,54.06,58.88,60.14,60.89
2016-10-09,57.94,56.54,55.28,54.52,59.34,60.6,61.36
2016-10-16,57.23,55.83,54.57,53.82,58.64,59.9,60.65
2016-10-23,60.52,59.12,57.86,57.1,61.92,63.18,63.94
2016-10-30,59.96,58.55,57.29,56.54,61.36,62.62,63.37
2016-11-06,59.85,58.44,57.18,56.43,61.25,62.51,63.26
2016-11-13,58.41,57.01,55.74,54.99,59.81,61.07,61.83
2016-11-20,60.61,59.2,57.94,57.19,62.01,63.27,64.02
2016-11-27,60.55,59.15,57.88,57.13,61.95,63.21,63.97
2016-12-04,59.91,58.51,57.25,56.49,61.31,62.58,63.33
2016-12-11,62.14,60.73,59.47,58.72,63.54,64.8,65.55
2016-12-18,63.05,61.65,60.39,59.63,64.45,65.72,66.47
2016-12-25,63.38,61.98,60.72,59.96,64.78,66.04,66.8
2017-01-01,62.63,61.23,59.97,59.22,64.04,65.3,66.05
2017-01-08,62.82,61.42,60.16,59.4,64.22,65.48,66.24
2017-01-15,62.64,61.23,59.97,59.22,64.04,65.3,66.05
2017-01-22,62.82,61.41,60.15,59.4,64.22,65.48,66.23
2017-01-29,65.36,63.96,62.7,61.94,66.76,68.02,68.78
2017-02-05,63.66,62.26,61.0,60.25,65.07,66.33,67.08
2017-02-12,64.48,63.08,61.82,61.06,65.88,67.15,67.9
2017-02-19,64.51,63.11,61.85,61.09,65.91,67.18,67.93
2017-02-26,64.33,62.93,61.67,60.91,65.73,67.0,67.75
2017-03-05,64.28,62.88,61.62,60.86,65.68,66.94,67.7
2017-03-12,64.95,63.54,62.28,61.53,66.35,67.61,68.36
2017-03-19,64.93,63.53,62.27,61.51,66.33,67.59,68.35
2017-03-26,64.97,63.57,62.31,61.56,66.38,67.64,68.39
2017-04-02,65.71,64.31,63.05,62.3,67.12,68.38,69.13
2017-04-09,65.63,64.23,62.97,62.22,67.04,68.3,69.05
2017-04-16,65.34,63.94,62.68,61.92,66.74,68.0,68.76
2017-04-23,67.26,65.85,64.59,63.84,68.66,69.92,70.67
2017-04-30,68.96,67.56,66.3,65.54,70.36,71.62,72.38
2017-05-07,69.0,67.6,66.34,65.58,70.4,71.66,72.42
